Standard Order,Randomised Order,Part,Operator,Replicate,Measurement,Timestamp,Notes
3,1,3,A,1,38,2025-09-18 14:31:00,
21,2,1,B,1,37,2025-09-18 14:31:13,
14,3,4,A,2,38,2025-09-18 14:31:26,
13,4,3,A,2,37,2025-09-18 14:31:39,
53,5,3,C,2,37,2025-09-18 14:31:52,
37,6,7,B,2,38,2025-09-18 14:32:05,
25,7,5,B,1,40,2025-09-18 14:32:18,
18,8,8,A,2,37,2025-09-18 14:32:31,
45,9,5,C,1,39,2025-09-18 14:32:44,
23,10,3,B,1,38,2025-09-18 14:32:57,
24,11,4,B,1,38,2025-09-18 14:33:10,
32,12,2,B,2,37,2025-09-18 14:33:23,
28,13,8,B,1,38,2025-09-18 14:33:36,
2,14,2,A,1,38,2025-09-18 14:33:49,
55,15,5,C,2,39,2025-09-18 14:34:02,
31,16,1,B,2,37,2025-09-18 14:34:15,
41,17,1,C,1,37,2025-09-18 14:34:28,
19,18,9,A,2,40,2025-09-18 14:34:41,"First measured 42, scales read -2 after removing bag"
17,19,7,A,2,37,2025-09-18 14:34:54,
60,20,10,C,2,37,2025-09-18 14:35:07,
15,21,5,A,2,39,2025-09-18 14:35:20,
39,22,9,B,2,39,2025-09-18 14:35:33,
30,23,10,B,1,37,2025-09-18 14:35:46,"First measured 46, then tared"
56,24,6,C,2,38,2025-09-18 14:35:59,
22,25,2,B,1,38,2025-09-18 14:36:12,
43,26,3,C,1,37,2025-09-18 14:36:25,
38,27,8,B,2,38,2025-09-18 14:36:38,
16,28,6,A,2,38,2025-09-18 14:36:51,
44,29,4,C,1,39,2025-09-18 14:37:04,
7,30,7,A,1,38,2025-09-18 14:37:17,
27,31,7,B,1,38,2025-09-18 14:37:30,
36,32,6,B,2,38,2025-09-18 14:37:43,
1,33,1,A,1,37,2025-09-18 14:37:56,
59,34,9,C,2,39,2025-09-18 14:38:09,
33,35,3,B,2,38,2025-09-18 14:38:22,
52,36,2,C,2,37,2025-09-18 14:38:35,
51,37,1,C,2,37,2025-09-18 14:38:48,
5,38,5,A,1,39,2025-09-18 14:39:01,
42,39,2,C,1,37,2025-09-18 14:39:14,
49,40,9,C,1,39,2025-09-18 14:39:27,
48,41,8,C,1,38,2025-09-18 14:39:40,
34,42,4,B,2,39,2025-09-18 14:39:53,
54,43,4,C,2,38,2025-09-18 14:40:06,
57,44,7,C,2,38,2025-09-18 14:40:19,
20,45,10,A,2,37,2025-09-18 14:40:32,
26,46,6,B,1,38,2025-09-18 14:40:45,
11,47,1,A,2,37,2025-09-18 14:40:58,
40,48,10,B,2,37,2025-09-18 14:41:11,
6,49,6,A,1,38,2025-09-18 14:41:24,
46,50,6,C,1,38,2025-09-18 14:41:37,
29,51,9,B,1,39,2025-09-18 14:41:50,
12,52,2,A,2,37,2025-09-18 14:42:03,
35,53,5,B,2,39,2025-09-18 14:42:16,
9,54,9,A,1,39,2025-09-18 14:42:29,
8,55,8,A,1,38,2025-09-18 14:42:42,
10,56,10,A,1,37,2025-09-18 14:42:55,
4,57,4,A,1,38,2025-09-18 14:43:08,
58,58,8,C,2,36,2025-09-18 14:43:21,
50,59,10,C,1,39,2025-09-18 14:43:34,
47,60,7,C,1,40,2025-09-18 14:44:00,
